Date,Source,Aries (March 21-April 20),Taurus (April 21-May 20),Gemini (May 21-Jun 21),Cancer (Jun 22-July 22),Leo (July 23-August 23),Virgo (August 24-September 23),Libra (September 24-October 23),Scorpio (October 24-November 22),Sagittarius (November 23-December 21),Capricorn (December 22-January 21),Aquarius (January 22-February 19),Pisces (February 20-March 20)
01-Jan-24,Hindustan Times,"You will need to remain consistent in your exercise routine, if fitness is your aim, irregularity will just not do. You may have to keep your feet firmly on the ground to stem wasteful expenditure. Professionals may need to boost their business. A forthcoming family event is likely to raise your spirits. Remain alert on the road while driving. A property matter assumes importance.
Love Focus: Young couples must cater to each other’s mood to avoid turbulence in relationship.

Lucky Number: 3

Lucky Colour: Cream","Soaring expenses may become a cause for concern. Efforts will be required to keep good health. A big project may require total focus and energy. Chances of friends or relations coming and staying with you cannot be ruled out. A long drive may prove fatiguing for some. Prospects of owning property look bright, so go for it as this seems to be an auspicious day.


Love Focus: Your romantic intentions may not be readily reciprocated, but persistence will pay!

Lucky Number: 2

Lucky Colour: Pink","A raise or an increment can be expected by some. Those feeling weak and listless of late may find their strength and energy returning. Finally, you may find things improving both on the personal and professional fronts. You are likely to devote your energies to make home a happy place to be in. Someone may be interested in taking you out of town. A new property acquired by you will start giving good monetary returns.

Love Focus: Getting involved with someone on the romantic front cannot be ruled out, so rejoice!

Lucky Number:7

Lucky Colour: Green","Some of you are likely to follow in the footsteps of your more health-conscious friends and benefit. Despite rising expenses, you will be able to hold your own by judicious spending. Chance to display expertise will soon come to you on the professional front and you will manage to impress all. A child becomes a source of great pride. Those travelling out of town need to carry adequate money.


Love Focus: A tiff with lover may affect the relationship.

Lucky Number: 5

Lucky Colour: Purple","Money lent to someone close appears as good as lost. Deteriorating health of someone close may cause worry. A gross miscalculation on the professional or business front threatens to turn things unfavourable. A family gathering can get you totally involved and prey on your time too. Road users need to exercise caution. Additions and alterations contemplated for the house may be given the green signal now.

Love Focus: Your hopes of befriending someone from the opposite gender may be dashed.

Lucky Number: 2

Lucky Colour: Magenta","Dreams of making it big on the financial front are likely to be realised sooner than expected. Those in the creative field may get a chance of a lifetime. Good health is assured, as you get motivated to shake a leg. Family will be supportive and prove a great help in whatever you are involved in. A pilgrimage may be planned by some. Buying property is very much on the cards for some.


Love Focus: Romance flourishes as you draw closer to your loved one.

Lucky Number: 7

Lucky Colour: Saffron","Not being proactive on the professional front may impart a feeling to some that they have outlived their utility. Invest only if you are sure of the returns. You may be preparing for a celebration or a wedding in the family. You are likely to create a situation, just to meet lover! Some of you may set out on a vacation and enjoy yourself. If owning property is on your mind, a good bargain is waiting in the wings.

Love Focus: Your romantic ideas are likely to provide much happiness to the beloved.

Lucky Number: 2

Lucky Colour: Silver","Those with money to invest may still be looking for some good options. If health is causing worry, don’t delay in getting yourself checked. Take professional help to get back into shape. You will need to be more responsive to the needs of spouse, if you want peace and harmony to prevail on the home front. Don’t pass up a chance to accompany someone on a trip, if you want to enjoy yourself. Emotional attachment with an ancestral property may not let you sell it.


Love Focus: Turn on your charm on the romantic front and rejoice!

Lucky Number: 8

Lucky Colour: Yellow","Some of you are likely to start earning well or experience a windfall. You will need to keep up your exercise regimen to remain fit and energetic. Professionals will be able to raise their fees without loss of clients. Harmony is foreseen on the domestic front. Love life is likely to look up, as relationship grows stronger. Accompanying your near and dear ones on a journey promises lots of fun.

Love Focus: An opportunity comes within your grasp on the romantic front, so don’t let it go!

Lucky Number:5

Lucky Colour: Golden","Businesspersons will be able to think up some good business strategies to maintain current profits. Your way with words is likely to convince all those opposed to your ideas on the work front. A family gathering is in the offing and promises much excitement. Love is in the air and you are likely to make the most of it today! Postponing a journey is possible, as you may not be in the mood for it.


Love Focus: Luck is likely to favour those seeking love, so expect to enjoy a romance-filled day!

Lucky Number: 1

Lucky Colour: Maroon","You will need to be more careful on what you spend, as expenses are set to rise. Avoid excesses, if you value your health. You will need to hold your horses on a project at work, as some changes are expected. An important journey may have to be undertaken soon. Possibility of getting a property at a good price cannot be ruled out.

Love Focus: Lack of confidence may mar your chances on the romantic front.

Lucky Number:6

Lucky Colour: Brown","It is best to start saving now, as it may become difficult later. Keeping a control over diet is important and will not prove difficult for you. An opportunity to impress those who matter on the professional front can materialise today. Resetting the house may become a priority with some homemakers. Those new to driving may need to remain extra vigilant today.


Love Focus: Love is certainly in the air, but your recklessness in seeking it may put paid to your romantic aspirations.

Lucky Number: 22

Lucky Colour: Peach"
02-Jan-24,Hindustan Times,"A unique blend of challenges and opportunities are the highlights of the day. Health and financial hurdles may seem daunting, but they are stepping stones for personal growth. On the bright side, your professional endeavors will flourish, shining with remarkable success. Your family bonds are a precious treasure, and love will thrive in your personal life. Plan an exhilarating journey, explore property investments, and expect delightful surprises sprinkled throughout your day.


Love Focus: Enhance matters of the heart with tenderness and deep understanding; plan meaningful moments with your partner.

Lucky Number: 17

Lucky Colour: Blue","Anticipate a steady wellness journey with consistent exercise and a balanced diet, ensuring lasting vitality. Despite some investments facing challenges, hold on; better times are on the horizon for financial prosperity. Confidence in professional ventures will pave the way for success; embrace opportunities with certainty. Enduring family bonds will bring comfort and joy. Embark on a thrilling journey to explore new horizons. Consider property investments with an eye on future gains; sow the seeds for lasting financial well-being.


Love Focus: Love flourishes in every moment; create meaningful experiences to deepen your romantic connection.

Lucky Number: 22

Lucky Colour: Grey","Persist in your fitness journey, steady progress awaits. Tread carefully in financial matters, and consider conservative strategies for stability. Challenges at work may test you, but resilience is your key to a brighter professional future. Family bonds face trials, but your enduring love can weather the cosmic storm. Hold on major journeys for now as last-minute changes may invite more troubles. Creativity shines like a hidden gem, so explore it in various unexpected places. Proceed with cautious optimism in your real estate pursuits.

Love Focus: Love’s path may be rocky, but with patience and understanding, celestial harmony can be restored.


Lucky Number: 4

Lucky Colour: Dark Yellow","The stars bring a refreshing breeze, filling you with vitality. Financial winds favor your sails; expect a prosperous cycle as your investments bear fruit. Professionally, you’re like a master painter, crafting your path to success with precision. Your family bonds are like a sturdy ship, weathering any storm that comes your way. Pack your bags for a beach reset with your group. The stars hint at positive returns in property investments, grounding your financial path.

Love Focus: Anticipate a chapter of deep connection and romantic fulfillment.

Lucky Number: 8

Lucky Colour: Purple","Your health shines with vitality, encouraging you to maintain well-being and stay active. Financially, you are like a wise investor, making prudent decisions for your future. Professionally, opportunities are like ripe fruits waiting to be plucked. While family and romantic matters may pose challenges, patience and understanding are your guiding stars. Plan a getaway to break the routine and explore life’s surprises. Property investments may bring you future gains, like planting seeds in fertile soil.


Love Focus: Love encounters a temporary pause; focus on personal growth to reignite the romantic cosmic spark.

Lucky Number: 6

Lucky Colour: Brown","Professionally, you are like a diligent scholar, dedicated to your path of success. Your health encourages you to maintain a balanced lifestyle, like a skilled tightrope walker gracefully navigating life’s challenges. Financially, you have the savvy of a shrewd investor, making decisions that secure your future. Family bonds remain strong. When it comes to travel, slow down a bit, and consider property investments that may yield future gains.

Love Focus: Love’s path encounters a gentle breeze; navigate with measured enthusiasm for romantic balance.

Lucky Number: 1

Lucky Colour: White","Fine-tune your well-being routine. Explore new exercises or nutrition tweaks for sustained vitality. Consider diversified investments and strategic budgeting for stability. Inject creativity into your career path; seek innovative solutions and collaborations for professional growth. Strengthen family bonds through open communication and shared activities. Explore unique destinations, and let unexpected detours enhance your travel experience.


Love Focus: Plan a surprise or express genuine emotions to deepen romantic ties.

Lucky Number: 2

Lucky Colour: Brown","Try exploring new fitness realms for sustained vitality. It’s a day to expect abundant returns and profits from past investments. Confront career challenges with a planned mindset. Reassess your path for professional growth. Domestic harmony can be only achieved through patience and open communication. Let the winds guide you to unexpected adventures.

Love Focus: Plan a heartfelt gesture for a connection in your love story.

Lucky Number: 5

Lucky Colour: Dark Red","Your well-being treads the middle path. Embrace balance; explore holistic practices. Small, consistent efforts pave the way for a vitality surge. Cultivate patience on the financial front and try considering diverse investments. A moderate approach now lays the foundation for future abundance. Seek growth in skill, not just position. Family bonds find stability. Nurture connections through shared experiences. Moderate efforts lead to lasting warmth on the home front. Travelers may be able to uncover hidden gems in a familiar place. Concerns related to a property may settle through an expert’s guidance.


Love Focus: Embrace the pace; deeper connections evolve. A patient heart reaps the sweetest romantic rewards.

Lucky Number: 7

Lucky Colour: Peach","Your health calls for moderation and careful choices. Financially, exercise wisdom and prudence in your decisions. Professionally, adaptability and patience are your allies. Family bonds are your pillar of strength. While romance may require a bit more patience, travel holds exciting possibilities and property investments show potential. Seek excellence in various unexpected facets of your day, like uncovering hidden treasures.

Love Focus: Love unfolds with a measured rhythm. Patience becomes the key to romantic fulfillment.

Lucky Number: 9

Lucky Colour: Maroon","Keep things balanced for your well-being. Take small steps consistently for lasting vitality. Money matters move steadily. Be patient, diversify your investments. Today’s moderation sets the stage for a secure financial future. Work-wise, take it steady. Focus on growing skills; unexpected career paths often reveal themselves with time. Family front may face challenges. Navigate with understanding and try to support as much as possible. Travel plans hit snags. Approach with caution, and learn from unexpected bumps along the way.


Love Focus: Love hits a rough patch. Stay strong; tough times can lead to a more enduring and profound romance.

Lucky Number: 8

Lucky Colour: Cream","Your health shines brightly, like a beacon guiding you to stay active and embrace well-being. Financially, opportunities are knocking; make wise choices and secure your future. Professionally, you are on the path to success; seize the opportunities with confidence. Family matters may require some patience and understanding. Plan exciting journeys, explore property investments, and anticipate pleasant surprises sprinkled throughout your day.

Love Focus: You can express your feelings to someone you like as love stars favour you today.

Lucky Number: 11

Lucky Colour: Silver"
03-Jan-24,Hindustan Times,"Maintaining an active life will do your health a whale of a good. You will have enough to spend and save too. Your willingness to take on even the toughest job at work will keep you on the right side of superiors. You may find spouse extra sensitive today, so steer clear! It may become difficult to avoid delays in a journey undertaken by you. Average returns from a property owned by you may not make you too happy.


Love Focus: Positive indications from the one you secretly love are likely.

Lucky Number: 18

Lucky Colour: Brown","Keep your eyes and ears open while investing, as what is told may not be the whole truth. You may not be willing to give your all to come back in shape. You may need to put in a few extra hours at work just to complete something urgent. You may be tasked to organise something on the family front. Some relief is in store for those compelled to undertake a lot of official tours. Excellent returns are expected from property and previous investments.


Love Focus: An exclusive dinner out with the one you love is on the cards.

Lucky Number: 1

Lucky Colour: Red","Your desire to buy something expensive will be met, as you have the money. You will succeed in tackling the difficulties that come your way at work today. Homemakers are likely to come into their element to make home a happy place. Love is in the air and you are likely to make the most of it.

You may shake out of your lethargy and seriously take up an exercise regimen. Those planning a vacation are in for an enjoyable time.

Love Focus: You will be able to take the right steps to brighten the romantic front!

Lucky Number: 3


Lucky Colour: Magenta","You are likely to shine like a bright star on the professional front today. Be careful about money, as you may be charged extra. Neglect on the health front can have adverse consequences. You will do what needs to be done on the family front. Keeping open your option to undertake a journey will be a step in the right direction. Some of you may start a long pending construction work at home.

Love Focus: Romantic life will be most fulfilling, as you get to spend quality time with lover.

Lucky Number: 9

Lucky Colour: Pink","Personal supervision may be required for curbing wasteful expenditure. Additional manpower may be needed to complete a back-breaking job on the professional front. Efforts will be required to keep health on track. Check your mood swings as they can upset others in the family. Air travel is indicated for some. Those looking for suitable accommodation may find one that fits their pocket.


Love Focus: Wedding bells may soon toll for someone eligible.

Lucky Number: 5

Lucky Colour: Blue","Big money can come to you from a previous investment. Some of you may decide to join a health club or fitness regimen. A good day is foreseen in which you will be able to achieve much on professional front. You are likely to plan out something with the family today. A pilgrimage may materialise for some. A lot of praise is in store for you on the social front.

Love Focus: Romantic life will be most fulfilling, as you get to spend quality time with lover.

Lucky Number: 9

Lucky Colour: Brown","You may resolve to keep in perfect health by self-discipline. Boom time can be expected by some on the financial front. Someone on the professional front is likely to realise your potential. Your secretive nature may make parents or family elders suspicious, so be more open in whatever you do. Some of you can get down to furnishing a newly acquired house. Someone may look up to you for help on the social front, so don't say no.


Love Focus: Your way with words and charm is likely to make you irresistible on the romantic front!

Lucky Number: 17

Lucky Colour: Purple","You will keep good health just by adhering to a balanced diet. Your financial situation is likely to take a downward swing, so curb wasteful expenditure. Setting up something new may take a lot of time at work. Differences with a parent or a family elder are possible and upset you. Accompanying someone on a jaunt is possible, so get ready to enjoy your heart out. Avoid getting involved in any property issue today.

Love Focus: Positive signals on the romantic front promise to keep you in an excited state!

Lucky Number: 11

Lucky Colour: Orange","Self-discipline and focus will be the key factors in maintaining top physical condition. Keep your options on the financial front open. You may have to put in efforts to qualify something essential for your profession. Parent or a family elder can irritate you by being extra protective. Travelling may prove tiresome due to delays. Always seeking your own popularity in any gathering is like seeking the impossible!

Love Focus: You are likely to lose a golden opportunity to meet the one you secretly love.

Lucky Number: 22

Lucky Colour: Magenta","Joining health-conscious people on the fitness front is likely to do you good. Budget your expenses, as you can go overboard in your spending. Office atmosphere will remain conducive for performers. This is a good time to plan a short outing with family. A short journey may find you refreshed and rejuvenated. Acquiring property is foreseen for some.


Love Focus: Those in love are likely to spend the day in the company of beloved.

Lucky Number: 11

Lucky Colour: Silver","Health remains satisfactory through your efforts. You are likely to find ways to improve your financial condition. Professionals are likely to feel pleased with what they have achieved. Something special may be done on the home front. A journey may prove fruitful in more ways than one. A property may fetch you a handsome price.

Love Focus: Romantic thoughts can dominate your mind today and make the evening enjoyable!

Lucky Number: 2

Lucky Colour: Golden","Whatever you are doing for keeping fit may not be adequate, so add a workout routine. Investment options will be aplenty, but you will do well to wait out for some more time. Confusion regarding some additional responsibility at work will need to be sorted out with higher ups. A situation cropping up on the family front will need to be tackled with tact. Keep adequate buffer time in a journey as delays are foreseen.


Love Focus: Go with the flow on the romantic front instead of imposing yourself for an enjoyable time.

Lucky Number: 9

Lucky Colour: Yellow"
04-Jan-24,Hindustan Times,"Today looks excellent across various aspects of your life. Your health is in top form, allowing you to seize the day fully. Financially, you can expect excellent stability and possible growth. Your professional life is high, presenting opportunities for a fantastic career. Family relations are thriving, and your romance is full of positivity. However, property matters may require careful consideration.


Love Focus: Your love life is brimming with positivity.

Lucky Number: 22

Lucky Colour: Purple","Health needs attention today. Yoga, meditation, or some other form of exercise is likely to benefit. Financially, although you may not feel entirely secure in your investments yet there is nothing to worry. Professionally, maintaining your current situation is essential. On the bright side, your family life is excellent. Property front is promising, but travel plans need careful attention.


Love Focus: You appear to be a wonderful partner in your relationship.

Lucky Number: 3

Lucky Colour: Brown","Don’t take a subordinate for granted, as he or she may put your plans in jeopardy. Keep seniors informed before taking any action at work as you can be made a scapegoat. Put a stop to your depleting financial resources by taking some stringent measures. Aches and pains suffered by some are likely to disappear soon. Those awaiting orders may feel a bit frustrated by the tardy pace.

Love Focus: Winning over the one you love will be a lot easier by opening up your heart to him or her.

Lucky Number: 8

Lucky Colour: Green","Colleagues seem extremely supportive. A new employee’s experience & creativity may prove to be an asset in your new project. A visit to a museum will prove informative for those engaged in research or writing. Construction or renovation of house is foreseen for some.


Love Focus: This is an excellent time for those trying to make a long-term relationship permanent.

Lucky Number: 18

Lucky Colour: Sky Blue","Invest time in learning new skills to move up the corporate ladder. An ailment is likely to show signs of abating. An investment policy that you have put your money in may prove a financial boon. A job accomplished on the academic front is likely to be appreciated.

Love Focus: Cupid promises to make your love life cruise along smoothly.

Lucky Number: 3

Lucky Colour: Yellow","Start off the day as you would like to finish it. Difficulties at work need to be encountered with expertise and support. Arrogant stance of a family member is likely to prove upsetting. Impulse shopping can leave your budget in tatters. It may be difficult to get your money back from someone you have loaned it to. Digestive or skin problems can cause problems.


Love Focus: Those seeking love are likely to get encouraged by positive signals.

Lucky Number: 9

Lucky Colour: Brown","Play the sympathy card to win over your enemies. Important decisions at work may require more thoroughness. Those married for some time now may begin to start planning their family. Tensions may be palpable for those trying to sell a property. The eligible may face some frustration on the marriage front. Raising capital for a venture may prove difficult.

Love Focus: Someone you like on the romantic front is likely to give positive signals.

Lucky Number: 1

Lucky Colour: Magenta","Avoid submitting anything in haste as the chances of committing a mistake are high. Some of you will need to run around the boss to get your vacations sanctioned. Progress of recovery appears to be slow for those ailing. A tiff with someone you don’t like is possible; keep your temper and tongue under control.


Love Focus: Your relationship with your spouse seems to be well-managed.

Lucky Number: 9

Lucky Colour: Maroon","Media professionals may get an opportunity to rub shoulders with the bigwigs of the industry. Excellent preparation is likely to find some soaring on the academic front. Prayers of those in family way are likely to be heard. Restructure your workout schedule to benefit more on the health front. Sound financial health allows you to pay off the old debts.

Love Focus: Difficulties might arise in your relationship with your spouse.

Lucky Number: 22

Lucky Colour: Magenta","Businessmen should go for a PR advice for their business to pick up. Those unwell are likely to show a quick recovery. An increment or bonus is in the offing for IT professionals. Financial front looks set to get strengthened. Social obligations will be met satisfactorily. A vacation may beckon some and prove most exciting.


Love Focus: Things appear to be moderate on the love front.

Lucky Number: 2

Lucky Colour: Peach","A joyous occasion on the family front gives you reasons to smile. Aspiring models and actors may hear of auditions for their dream roles. Professional backlog is likely to be cleared at work. Old dues will be settled as you manage your finances well. Property issues will be settled in your favor. Doctors and advocates may end up working late hours in their office.

Love Focus: Challenges on the love front will be well managed today.

Lucky Number: 7

Lucky Colour: Orange","Personal and professional fronts may remain hectic. Delegating your responsibilities will help you clear your pending backlog at work. A change of scene will help you unwind. House hunters will find something that will suit their needs. Be cautious in spending as the savings graph doesn’t yield a productive outcome. Government officials will get the opportunity to put their best foot forward.


Love Focus: An exclusive evening out with lover will prove most enthralling!

Lucky Number: 4

Lucky Colour: Silver"
05-Jan-24,Hindustan Times,"It's time to look forward to the promising day ahead. Your health seems to be in good condition, providing a strong foundation for success. Money matters are favorable, with opportunities for growth and stability. While your professional and family lives may face basic challenges, you can manage them effectively. In romance, travel, and property-related matters, normalcy prevails, allowing for balanced decisions. In the other aspects of life, things are on a positive note, indicating a well-rounded and harmonious day for you.


Love Focus: To keep your relationship balanced, romantic aspects may call for patience and conversation.

Lucky Number: 4

Lucky Colour: Orange","Everything on the work front may not be to your liking, but little you can do about it. Keep your monetary front stable by controlling spending. A pending payment is likely to be received. You may go in for a lifestyle change for the sake of health and benefit. Increased daily chores may bug some homemakers. Results can go wrong on the academic front, if you are not careful.


Love Focus: Love front may require patience and communication to maintain a balanced relationship.

Lucky Number: 6

Lucky Colour: Peach","An excellent opportunity can strike you at workplace, so expect to make a kill! Previous performance promises to bring you recognition on the academic front. Don’t dig your brain too much in alluring investment schemes. You will be able to keep yourself slim and trim by regular exercises. An exciting trip by road is possible for some.

Love Focus: Love is flourishing, bringing joy and fulfillment to your romantic relationships.

Lucky Number: 11

Lucky Colour: White","Be careful at the social front, as someone is out to show you in a bad light. Those planning to buy property would do well to wait a little more. You may have to judge things correctly in a joint family situation to keep the domestic fabric intact. Your suggestions on the professional front may not count initially, but will matter at a later date.


Love Focus: Your romantic life is thriving, bringing joy and fulfillment.

Lucky Number: 1

Lucky Colour: Light Brown","Professionally, you will simply be brilliant! Arrival of a distant relation is likely to brighten up the domestic atmosphere. You are likely to create good openings on the job front by sheer social networking. Financial position is set to improve as profits start pouring in. Bringing order to your life will keep you in fine fettle on the health front.

Love Focus: You will draw your partner nearer by revving up your romance.

Lucky Number: 8

Lucky Colour: Grey","You will manage to continue with your winning streak on the professional front. Adding to your skills by doing some course or attending some training is likely to enhance your employability. Wise investments will find your financial health improving. A side business proves profitable. Spouse proves a great support.


Love Focus: You are likely to succeed in your efforts to rejuvenate your love life.

Lucky Number: 17

Lucky Colour: Green","Some changes can be expected at work, but they will not affect you. Healthy alternatives promise to bring you in the prime of your health. Those playing the stocks are likely to hit it rich. You can be in a contemplative mood at work and may reflect upon the satisfaction you are deriving out of your present job.

Love Focus: Your romantic endeavors are likely to meet a dead end, but don’t lose hope.

Lucky Number: 22

Lucky Colour: Magenta","You may be made to do extra hours at work, but will get to learn a lot. Wayside food may play havoc with your system, so desist. Don’t have blind trust in health products, they may not suit you. Businessmen may need to travel out of town for an unexpected meeting. Be instrumental in solving problems in a close friend’s love story.


Love Focus: Those in love are in for a satisfying time.

Lucky Number: 7

Lucky Colour:Purple","Your initiatives at work are likely to bear mixed results. Boosting employees will help you achieve speedy business targets. Attending seminars or visiting establishments may make office work pile up. Don’t overdo things trying to recover money from someone, as you may not be able to catch hold of him. A short trip is possible. Health may cause worry.

Love Focus: Those in love may have to contend with an off mood partner.

Lucky Number:5

Lucky Colour: Blue","Working women may opt to work from home in order to manage the other domestic engagements. Those aspiring for aviation or hospitality may hear of interview calls. Control your excess calorie intake to avoid blood pressure risks.


Love Focus: Don’t annoy someone you love so much because of your unpunctuality.

Lucky Number: 7

Lucky Colour: Brown","Financial front grows strong as good returns from past investments are received. A respite from bodily ailments is foreseen as the phase of perfect health commences. Steering a social event to success at may put a feather in your cap. An outing will be quite rejuvenating.

Love Focus: Those trying their luck on the love front are likely to find success at last!

Lucky Number: 1

Lucky Colour: Red","Someone trying to impose upon you may unsettle you, but not for long. Watch your words before you speak else they may offend someone at higher authorities. Someone may default in repaying you a loaned amount. This is not the best time to invest in a scheme that seems lucrative. Some complications on the family front cannot be ruled out. An outing will be a nice change.


Love Focus: Love is in the air, bringing joy and deep connections to your life.

Lucky Number: 9

Lucky Colour: Pink"
06-Jan-24,Hindustan Times,"Avoid playing emotional tantrums to become the centre of attraction. Professionally, you remain much in demand. Smooth operations are foreseen at work. Those worried about their health can relax, as they remain hale and hearty. Your efforts to appease lover today will meet with instant success! Listen to others before acting.

Love Focus:

Lucky Number: 8

Lucky Colour: Green","Some delay is foreseen in completion of a project or task. Consolidate your gains on the professional front. Those in the hospitality and service sector will find things looking favorable. Academic performance is likely to place you amongst the leaders. Much rejoicing is foreseen on the family front. A social event promises to up your popularity and put you on the centre stage.

Love Focus: Some of you may feel starved of love and affection and become desperate to bring it back into your life.

Lucky Number: 5

Lucky Colour: Green","A superior may be following you closely regarding your performance, so don’t relax. Repose more trust in subordinates to lessen your workload. A lot of pressure can be put on some for marriage. You will need to manage your finances well to plan an asset in the short run. Social gatherings in the evening will bring in pleasure and an opportunity to build new contacts.

Love Focus: Things may not look hunky-dory on the romantic front, as lover may rake up past issues.


Lucky Number: 1

Lucky Colour: Peach","Trusting others is a problem with you and is likely to increase your workload. Something important is about to happen on the family front that may have some far-reaching consequences. Newlyweds are likely to enjoy a short trip together. Overseas journey will enable some to meet their near and dear ones.

Love Focus: A love at first sight situation is likely, so look your best!

Lucky Number: 2

Lucky Colour: Cream","You will have to provide your full support to spouse, if you want married life to cruise along smoothly. A new line of treatment is likely to do wonders for those ailing for long. You may resolve to come back in shape by taking up some physical activity. Money will not seem a problem for those trying to purchase a major household item. Getting work out of a new team may seem tough, but you will manage it.

Love Focus: Those craving for romance may need to change their approach for gaining success.

Lucky Number: 6

Lucky Colour: Brown","Someone may use you for his or her selfish ends, so beware. Starting early for your destination is advised, if you want to reach it comfortably and in time. Some important papers related to property are likely to be signed today, much to your relief. Finding someone to stand in for you for on the work front won’t be a problem. Health remains satisfactory.

Love Focus: Your highly romantic mood today may come to naught, as lover remains busy.

Lucky Number: 18
Lucky Colour: Sky Blue","You may find yourself quite error-prone today, so expect some pulling up on the professional front. This not the time to show who really calls the shots at work, especially to a rival. Financially, you may need to juggle your expenses in a way that you don’t feel the pinch. Time is ripe for those who are contemplating an image makeover. Family may not let you rush into something you desire without going into the details.

Love Focus: It may be difficult to woo lover today, but persistence will pay!

Lucky Number: 5

Lucky Colour: White","Time may not be on your side in realising your aim. Success is foretold for those participating in a competition or generally trying to make your mark. Your fair play on the professional front will keep everyone happy. You will get enough support to see a complicated task through. A journey undertaken will prove exhilarating. A youngster may follow your advice on the career front.

Love Focus: Those seeking love will have the courage to approach the one they like.

Lucky Number: 1

Lucky Colour: Maroon","You will get a chance to go on a fun trip soon and are likely to enjoy your heart out. Tensions, if any, are likely to ease on the home front. Keep the senior informed of whatever you are involved in just to keep him or her in the picture. You get a chance to invest in a lucrative financial scheme.

Love Focus: Those in love are likely to make efforts to strengthen their bonds with lover.

Lucky Number: 8

Lucky Colour: All shades of Green","You will be in a position now to hold the reins of the household firmly. Efforts put on the work front are likely to impress those who matter. Steady income is assured for those moonlighting. Think before you speak, as you are likely to offend someone by uttering something that you didn’t mean to. You can be extra harsh on a family youngster who refuses to do your bidding.

Love Focus: Differences on the romantic front may threaten your relationship.

Lucky Number: 22

Lucky Colour: Dark Yellow","You will have to remain on your toes, as someone is targeting you. Something initiated by you in the past may start giving handsome returns. Opportunity knocks for those trying to change their line of work. Profits are set to increase for the professionals as they make new clients. A loan is likely to be returned in time. A balanced diet and an active lifestyle will help you keep fit and energetic.

Love Focus: Love life appears stagnant and needs rekindling.

Lucky Number:7

Lucky Colour: Silver","You may be invited to represent your organisation or association in a prestigious event. If you are in the mood for some gossip, all you need to do is to join your social circle today. The more exhaustively you brief subordinates for a particular task at work, the more perfect will be the end result, remember that. Money loaned to a friend is likely to be returned soon.

Love Focus: Spouse is likely to take your opinion before embarking on something important.

Lucky Number: 9

Lucky Colour: Golden"
